,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
24,2-s2.0-85104983906,10.1016/j.tbs.2021.03.005,S2214367X21000259,,Who you are determines how you travel: Clustering human activity patterns with a Markov-chain-based mixture model,ar,Article,Zhou Y.,60129238;60073652;121797394,Key Laboratory of Road and Traffic Engineering of the State Ministry of Education;Tongji University;University of Washington,Shanghai;Shanghai;Renton,China;China;United States,4,"Zhou, Yang;Yuan, Quan;Yang, Chao;Wang, Yinhai",57224100396;55859424600;58133251500;35194956300,60129238-121797394;60129238-60073652;60129238-60073652;121797394,2021-07-01,July 2021,Travel Behaviour and Society,2214367X,21100316002,,Journal,24,,,102-112,"Pattern clustering is an effective method for exploring the regularities of human mobility scheduling and daily activities. There still remains the challenge of measuring the similarity between pairs of activity patterns that are in the form of categorical time series sequences. Existing studies measured similarity using binary vector or edit distance, but these methods were insufficient to characterize routine arrangement and time scheduling of daily activities. To address this issue, we cluster daily activities and identify regular patterns using a Markov-chain-based mixture model, which captures features of activity scheduling by Markov transition matrix as well as measures similarity with probability distribution. Logistic regression models are further built to test hypothetical relationships between activity patterns and socio-demographic characteristics. Results show there are three main human activity patterns in terms of daily routine arrangement and activity scheduling: working-education-oriented (WE-oriented), recreation-shopping-oriented (RS-oriented), and schooling-drop-off/pick-up-oriented (SDP-oriented). People in the WE-oriented pattern mainly engage with regular home-based commuting trips, while people in the RS-oriented pattern are involved in home-based shopping and entertainment events. With regard to the SDP-oriented pattern, people plan their trips under a restricted scheduling of schooling pickup/drop-off. Each pattern clearly indicates long-term regularity of daily activity behaviors and corresponds to specific socio-demographics. Distinguishing three categories of residents with distinct life styles, this research would help accommodate travel demand from different groups of people in urban transportation planning.",Activity pattern | Clustering | Mixture model | Travel survey | Urban mobility,16,0,,,,202006260152,Tongji University
25,2-s2.0-85096674838,10.1002/nav.21962,,,Stochastic analysis of an automated storage and retrieval system with multiple in-the-aisle pick positions,ar,Article,Liu J.,60158796,College of Engineering,Fayetteville,United States,3,"Liu, Jingming;Liao, Haitao;White, John A.",57216460077;7201507709;57214453843,60158796;60158796;60158796,2021-06-01,June 2021,Naval Research Logistics,0894069X,15961,15206750,Journal,68,4,,454-470,"An automated storage and retrieval system with multiple in-the-aisle pick positions (MIAPP-AS/RS) is often used to support case-picking occurring at floor and mezzanine levels. In this paper, the replenishment process is modeled as an M/G/1/N/N queueing problem in which the aisle-captive AS/R machine is the server and pick positions requiring replenishments are customers. Four scenarios are considered: finite population with dedicated storage, finite population with random storage, infinite population with dedicated storage and infinite population with random storage. The corresponding probability density functions (PDFs) for travel time are derived using a Chebyshev travel metric. For the finite population case, PDFs are derived using a novel method based on contour lines; the contour-line-based method can be used to derive PDFs for similar problems. From queueing and simulation results, the robustness of the M/G/1/N/N queueing model is demonstrated, allowing it to be applied in analyzing an MIAPP-AS/RS case-picking operation when interarrival times of replenishment requests are not exponentially distributed and heterogeneous customers are present. Dedicated- and random-storage policies for reserve storage are compared and conditions favoring each policy are provided. A case study demonstrates how queueing results can be applied in designing an MIAPP-AS/RS.",Chebyshev travel | general service time queue | Laplace transform | MIAPP-AS/RS | order picking | Poisson distributed arrivals,5,0,,,,undefined,
26,2-s2.0-85101719588,10.1088/1741-2552/abd684,,33361552,Brain network dynamics fingerprints are resilient to data heterogeneity,ar,Article,Menara T.,60137655;60024751;60001271,Marlan and Rosemary Bourns College of Engineering;Nagoya Institute of Technology;Advanced Telecommunications Research Institute International (ATR),Riverside;Nagoya;Kyoto,United States;Japan;Japan,4,"Menara, Tommaso;Lisi, Giuseppe;Pasqualetti, Fabio;Cortese, Aurelio",57038950300;56178005300;23569721500;57192415234,60001271-60137655;60024751-60001271;60137655;60001271,2021-04-01,April 2021,Journal of Neural Engineering,17412560,130164,17412552,Journal,18,2,026004,,"Context. Large multi-site neuroimaging datasets have significantly advanced our quest to understand brain-behavior relationships and to develop biomarkers of psychiatric and neurodegenerative disorders. Yet, such data collections come at a cost, as the inevitable differences across samples may lead to biased or erroneous conclusions. Objective. We aim to validate the estimation of individual brain network dynamics fingerprints and appraise sources of variability in large resting-state functional magnetic resonance imaging (rs-fMRI) datasets by providing a novel point of view based on data-driven dynamical models. Approach. Previous work has investigated this critical issue in terms of effects on static measures, such as functional connectivity and brain parcellations. Here, we utilize dynamical models (hidden Markov models - HMM) to examine how diverse scanning factors in multi-site fMRI recordings affect our ability to infer the brain's spatiotemporal wandering between large-scale networks of activity. Specifically, we leverage a stable HMM trained on the Human Connectome Project (homogeneous) dataset, which we then apply to an heterogeneous dataset of traveling subjects scanned under a multitude of conditions. Main Results. Building upon this premise, we first replicate previous work on the emergence of non-random sequences of brain states. We next highlight how these time-varying brain activity patterns are robust subject-specific fingerprints. Finally, we suggest these fingerprints may be used to assess which scanning factors induce high variability in the data. Significance. These results demonstrate that we can (i) use large scale dataset to train models that can be then used to interrogate subject-specific data, (ii) recover the unique trajectories of brain activity changes in each individual, but also (iii) urge caution as our ability to infer such patterns is affected by how, where and when we do so.",brain dynamics | fMRI | hidden Markov models | multi-site studies | neuroimaging | reproducibility | traveling,4,1,repositoryam,Green,,undefined,
27,2-s2.0-85101308798,10.1016/j.trc.2021.102998,S0968090X21000309,,Household use of autonomous vehicles with ride sourcing,ar,Article,Khayati Y.,60032083,"University at Buffalo, The State University of New York",Buffalo,United States,4,"Khayati, Yashar;Kang, Jee Eun;Karwan, Mark;Murray, Chase",57205512939;35229506600;7004000807;35756232800,60032083;60032083;60032083;60032083,2021-04-01,April 2021,Transportation Research Part C: Emerging Technologies,0968090X,20893,,Journal,125,,102998,,"The prospect of autonomous vehicles (AVs) offers the possibility that a household could reduce household owned vehicles to a single vehicle. At the same time, with AVs, a Shared Autonomous Vehicle (SAV) system will rise as a primary mode of serving travel demands. This study aims to model households’ activity/travel decisions using both household owned AVs as well as readily available SAVs to perform daily activities. We formulate the Household Activity Pattern Problem with Autonomous Vehicles and Ride Sourcing (HAPPAV-RS), as a mixed integer linear program. The model generates an optimal activity/travel patterns for household members under spatial and temporal constraints. The model can capture driverless operations such as AV pick-up and drop-off, parking availability, empty trips and ridesharing among household members, as well as the use of SAVs with the request waiting time. A decomposition method is used to solve the NP-hard problem HAPPAV-RS. scenarios on using AVs and SAVs with different travel mode availability, AV/SAV cost and SAV waiting time are designed to enable sensitivity analysis. Various travel metrics such as activity pattern feasibility, household's total travel disutility, travel mode VMT and AV-SAV trip coverage are reported.",Autonomous vehicles | Household activity pattern problem | Ride sourcing | Self-driving | Shared autonomous vehicles,9,0,,,NSF,CMMI 1536918,National Science Foundation
28,2-s2.0-85118930263,10.23773/2021_5,,,Travel time model for multi-deep automated storage and retrieval system with a homogeneous allocation structure,ar,Article,Lehmann T.,60102538,Karlsruher Institut für Technologie,Karlsruhe,Germany,2,"Lehmann, Timo;Hußmann, Jakob",57209241409;57331093200,60102538;60102538,2021-01-01,2021,Logistics Research,1865035X,19400158510,18650368,Journal,14,1,5,,"This paper presents a travel time model for multi-deep AS/RS, which determines the average travel times during a single command storage or retrieval and a dual command cycle. The model can determine the relocation probability, the number of expected relocations and the travel times in storage channels itself exactly dependingon the stock filling level. The travel time model assumes random storage policies. Travel time determination is trivial for single-deep AS/RS, because no relocation necessity applies and it gets more complicated with an increasing depth of the storage racks. The deeper goods can be stored, the more goods can potentially be stored in front of each other in one storage channel. This leads to relocation operations of blocking goods and causes higher total travel times. The higher the stock filling level, the higher is the relocation probability and the number of necessary relocations. The calculation of relocation probabilities in this work is based on a homogeneous storage good allocation structure which leads to a symmetric allocation of storage goods and enables an easy modelling of travel times. This paper presents a travel time model with a continuousstorage rack approximation of a multi-deepAS/RS in closed-form expression. Furthermore, the storage channel allocation probabilities are mathematically proven. The relocation probability for storage operations and retrieval operations are the same. Finally, the derived travel time models and relocation probabilities are verified by simulation.",Analytic modelling | Automated warehouses | Automatic storage and retrieval systems | K-deep | Multi-deep | N-deep | Travel time models,7,0,,,,undefined,
29,2-s2.0-85115399196,10.1504/IJSOM.2021.117658,,,Comparison of discrete and continuous travel time models for a multi-aisle AS/RS under different operating conditions,ar,Article,Singbal V.,60211905,Shailesh J. Mehta School of Management,Mumbai,India,2,"Singbal, Vishwesh;Adil, Gajendra Kumar",57211810103;24392168900,60211905;60211905,2021-01-01,2021,International Journal of Services and Operations Management,17442370,4000148902,17442389,Journal,40,1,,87-108,"Travel time is a predominant performance measure of AS/RS in literature. Two basic approaches are available for modelling travel time: discrete and continuous. Continuous models involve approximation of travel time. This paper considers a single crane unit load multi-aisle AS/RS operating under a single command and one of the three storage policies. The performance of continuous model is compared with discrete model under different operating conditions characterised by different combinations of input parameters: number of aisles, storage rack shape factor, number of products and demand skewness. Through the comparison of percentage error of continuous model different configurations where continuous models perform well are identified.",Continuous models | Discrete models | Multi-aisle AS/RS | Storage policies | Travel time models,2,0,,,,undefined,
30,2-s2.0-85106762327,10.19101/IJATEE.2020.762174,,,Comparison of carrier parking location in shuttle-based storage and retrieval system to determine optimal retrieval transaction performance,ar,Article,Bahurdin M.M.,60031886;123794976,Universiti Kuala Lumpur;UniKL Robotics and Industrial Automation Center (URIAC),Kuala Lumpur;,Malaysia;Malaysia,4,"Bahurdin, Mohamad Maaroff;Zailani, Hazli;Othman, Jamel;Dir, Tengku Mohd Azahar Tuan",57224008396;57224002019;57189097194;57189096933,123794976;60031886;123794976;123794976,2021-01-01,2021,International Journal of Advanced Technology and Engineering Exploration,23945443,21101023180,23947454,Journal,8,77,,520-528,"Shuttle-based storage and retrieval systems (SBS/RS) are one of the automated warehouse system family that has recently been developed to increase throughput capacity. SBS/RS consists of computer-controlled systems that automatically store and retrieve loads from fixed storage locations with precision, accuracy, and speed. The purpose of this paper is to identify the optimal location for an idle carrier to park, as the common aim of the warehouse manager is to minimize the retrieval transaction time. In this study, two parking locations were designed for the carrier. The first point will be at the pick-up and drop-off station, and the second point will be in the middle of an aisle. Two single tier storage with a carrier model was developed in a simulation environment, each model for each carrier parking parameter. The models run for 24 hours, and then the travel time of retrieval transaction is collected for both models. The transaction time was then analyzed statistically using the T-test Method. It is found that the middle of an aisle dwell point outperformed in terms of minimal travel time compared to dwell on the input/output point.",Automated storage | Dwell location | SBS/RS | T-test method,0,1,publisherfree2read,Bronze,,undefined,
31,2-s2.0-85104781130,10.1080/15389588.2021.1900569,,33849325,Severity analysis of road transport accidents of hazardous materials with machine learning,ar,Article,Shen X.,60028891,Chang'an University,Xi'an,China,2,"Shen, Xiaoyan;Wei, Shanshan",55450847600;57217229462,60028891;60028891,2021-01-01,2021,Traffic Injury Prevention,15389588,22112,1538957X,Journal,22,4,,324-329,"Objective: The aim of this study was to explore a suitable method for analyzing road transport accidents that involve hazardous materials and to explore the main factors that influence the occurrence of accidents of varying severity. Methods: The 2015–2019 reported crash data from the Ministry of Transport of the People's Republic of China were obtained, and road transport crashes involving hazardous materials were extracted as the analysis data. The dataset was classified into three injury severity categories: property damage only (PDO), injured (INJ), and fatal (FAT). A statistical model and three machine learning-based models were developed: a random parameters logit model (RPLM), multilayer perceptron (MLP), decision tree C5.0 (C5.0) and support vector machine (SVM). The four models were trained/estimated using the training/estimation dataset, and the best model was used to model accidents of the three different severity levels. The main factors that influence the occurrence of accidents at each crash severity level were obtained. Results: C5.0 had the best modeling performance. The direct accident form (DAF), indirect accident form (IAF) and road segment (RS) were determined to be the critical determinants of PDO accidents. The DAF, IAF, road type, RS and time had a substantial effect on INJ accidents. The DAF, IAF, hazardous material type (HMT) and road surface condition were important factors in the occurrence of FAT accidents. Conclusions: Different data have unique characteristics, and the best modeling and analysis method should be chosen accordingly. The safety of road transport of hazardous materials in China is poor, and the losses caused by accidents are substantial. Strengthening the monitoring of travel speed and travel time; improving driver safety awareness, driving skills and the ability to mitigate emergencies; improving the configuration of vehicle safety equipment and the linkage with the control center and rescue center; improving the environmental differences between inside a tunnel and outside a tunnel; reducing the design of long downhill and steep slope sections; reducing the transport plan in unsafe environments; and improving the ability of road management to mitigate bad environments can be effective measures to reduce the severity of road transport accidents involving hazardous materials.",accident severities | Hazardous materials | influencing factors | machine learning | road transportation,11,0,,,NKRDPC,2017YFC0804800,National Key Research and Development Program of China
32,2-s2.0-85099584367,10.1080/0951192X.2021.1872104,,,Designing an automated storage/retrieval system with a single aisle-mobile crane under three new turnover based storage policies,ar,Article,Singbal V.,60211905,Shailesh J. Mehta School of Management,Mumbai,India,2,"Singbal, Vishwesh;Adil, Gajendra K.",57211810103;24392168900,60211905;60211905,2021-01-01,2021,International Journal of Computer Integrated Manufacturing,0951192X,18198,13623052,Journal,34,2,,212-226,"This article considers a multi-aisle AS/RS employing a single aisle-mobile crane and develops analytical travel time models for three new storage policies with turnover-based product allocation to aisles. In addition to product turnover, these storage policies also take into account the demand skewness and the characteristics of storage and transport equipment. Based on the proposed travel time models, analytical expressions are derived to determine the physical dimensions of the AS/RS that are optimized with respect to crane travel time. AS/RS designs employing the newly developed storage policies are compared with designs employing three other (non-turnover based) storage policies, using a design methodology proposed in a recent study. The analysis shows that among the three turnover-based storage policies, class-based storage assignment performs better than full turnover-based storage policy when subjected to different evaluation criteria. It is concluded that the inclusion of storage policies in the AS/RS design process, is highly beneficial in the selection of the right storage and transport equipment.",AS/RS | automated warehousing | multi-aisle AS/RS | travel time models | Warehouse design,6,0,,,,undefined,
33,2-s2.0-85081201885,10.1007/s10479-019-03222-1,,,Bi-objective optimization for a two-depot automated storage/retrieval system,ar,Article,Man X.,60073652;60030208;60017605;60010953,Tongji University;Université d'Evry Val d'Essonne;Fuzhou University;Donghua University,Shanghai;Evry;Fuzhou;Shanghai,China;France;China;China,5,"Man, Xiaoyi;Zheng, Feifeng;Chu, Feng;Liu, Ming;Xu, Yinfeng",57193426309;9276481100;7201881008;57201577114;35231614000,60010953-60030208;60010953;60017605-60030208;60073652;60010953,2021-01-01,January 2021,Annals of Operations Research,02545330,23090,15729338,Journal,296,1-2,,243-262,"Operation management of automated storage and retrieval system (AS/RS) has a great impact on system performance and is a hot research topic. Most existing works for AS/RS operation management address determining storage and retrieval (S/R) machine sequence and minimizing its travel time. In the paper, we study a new bi-objective S/R machine sequencing problem with task release time and due date in a two-depot AS/RS. The objective is to minimize the total travel time of the S/R machine and the total tardiness simultaneously. For the problem, a new bi-objective mixed integer linear programming model is established. Based on problem property analysis, an exact ϵ-constraint method, a non-dominated sorting genetic algorithm II and a promising heuristic are devised for the problem. Especially, the computational results show the efficiency and effectiveness of the proposed algorithms.",Algorithms | Automated storage/retrieval system | Bi-objective optimization | Container terminal | Mixed integer linear programming | Two-depot,7,0,,,"en:NSFC, NNSF, NNSFC",71571134,National Natural Science Foundation of China
34,2-s2.0-85102148819,10.1109/LOGISTIQUA49782.2020.9353918,,,Multi-aisle AS/RS dimensions optimization for travel time between the storage bin and the retrieval bin minimization,cp,Conference Paper,Sihem K.,60068756;125860505,Université Abou Bekr Belkaid Tlemcen;Probability Laboratory of Tlemcen,Tlemcen;Algiers,Algeria;Algeria,2,"Sihem, Kouloughli;Malika, Korso Feciane",36158162000;57222277268,60068756;125860505,2020-12-02,2 December 2020,"2020 13th International Colloquium of Logistics and Supply Chain Management, LOGISTIQUA 2020",,21101039501,,Conference Proceeding,,,9353918,,"In this work we were interested in the study of the automated multi-aisle storage / retrieval system. It is a question of proceeding to optimize the dimensions of this system based on the analytical model of cycle time and considering constant speeds for the storage / retrieval machines. We are examining the case of the dual cycle, that is to say the storage operation is always followed by a retrieval operation. We are studying the case where storage and retrieval are done on two different aisles. And therefore we seek to optimize the three temporal dimensions of the system by minimizing the travel time between the storage bin and the retrieval bin. We used a commonly used method to find the optimal ratios between the three spatial dimensions of the rack, using the continuous cycle time model.",analytical model | Automated storage/retrieval system | optimization | Performance measures,0,0,,,,undefined,
35,2-s2.0-85096974282,10.3390/su122310024,,,"Transport for the elderly: Activity patterns, mode choices, and spatiotemporal constraints",ar,Article,Zhou Y.,60129238;60073652,Key Laboratory of Road and Traffic Engineering of the State Ministry of Education;Tongji University,Shanghai;Shanghai,China;China,3,"Zhou, Yang;Yuan, Quan;Yang, Chao",57224100396;55859424600;58133251500,60129238;60129238;60129238-60073652,2020-12-01,1 December 2020,Sustainability (Switzerland),,21100240100,20711050,Journal,12,23,10024,1-13,"The rapid aging of the population has posed significant challenges to society and raised new demand for transportation services. Understanding travel needs of the elderly is crucial to making effective strategies for accommodating their demand in many newly motorized cities in developing countries such as China. Using a Markov-chain-based mixture model, we identify two main activity patterns of the elderly: recreation-shopping-oriented (RS-oriented) pattern and schooling-drop-off/pick-up-oriented (SDP-oriented) pattern. Elderly people in the RS-oriented pattern enjoy a cozy life with much time spent on recreation and shopping activities, while those in the SDP-oriented pattern take responsibility of sending grandchildren to school and taking them back home. The RS-oriented elderly people are faced with spatial constraints to access the sparsely distributed recreational sights; however, the SDP-oriented group is subject to temporal constraints when making daily trips. These results would encourage policy makers to reconsider the role of transportation in aged people’s lives and better accommodate their demand through designing safer walking and cycling environment and improving the quality of transit services.",Activity pattern | Clustering | Elderly | Mixture model | Transportation policy,8,1,repositoryvor,Green,,undefined,
36,2-s2.0-85087002841,10.1080/02640414.2020.1776928,,32921247,Get sleep or get stumped: sleep behaviour in elite South African cricket players during competition,ar,Article,McEwan K.,60026548,Rhodes University,Grahamstown,South Africa,3,"McEwan, Kayla;Davy, Jonathan;Christie, Candice Jo Anne",57205153225;55580368300;56238144800,60026548;60026548;60026548,2020-10-01,1 October 2020,Journal of Sports Sciences,02640414,21090,1466447X,Journal,38,19,,2225-2235,"Despite evidence supporting the positive affect sleep has on sport performance, there is limited application of sleep research in cricket. This study investigated the sleep behaviours of 26 elite South African cricket players (28.6 ± 4.0 years) during home and away competition. Players completed an altered version of the Core Consensus Sleep Diary every morning post-travel, pre-match and post-match. Linear mixed model regression was used to compare differences in sleep between time-periods, venues and formats. Spearman’s correlations (rs) assessed the relationship of match performance and sleep. Post-match total sleep time (06:31 ± 01:09) was significantly (p < 0.05) shorter compared to post-travel (07:53 ± 01:07; g = 1.19) and pre-match (08:43 ± 01:03; g = 1.98). Post-travel sleep onset latency and sleep efficiency were significantly shorter (−20; g = 1.35) and higher (+10.4%; g = 0.74) at home than away respectively. Longer sleep onset latencies and shorter total sleep times were significantly associated with poorer One-Day International (rs = −0.57) and Test (rs = 0.59) batting performances respectively. The poor post-match sleep behaviour, and the sleep and performance correlations, provide motive for future interventions to focus on recovery and the use of sleep monitoring as a competitive advantage.",Cricket | in-season | sleep monitoring | team-sport | travel,3,0,,,,111772,
37,2-s2.0-85071989607,10.1080/00207543.2019.1659519,,,Travel time models for a three-dimensional compact AS/RS considering different I/O point policies,ar,Article,Xu X.,60108959;60025761;60024979,EMLYON Business School;Huazhong University of Science and Technology;Zhongnan University of Economics and Law,Ecully;Wuhan;Wuhan,France;China;China,5,"Xu, Xianhao;Zhao, Xiaozhen;Zou, Bipan;Gong, Yeming;Wang, Hongwei",55669169800;57204901086;56924489500;24767308200;55992255600,60025761;60025761;60024979;60108959;60025761,2020-09-16,16 September 2020,International Journal of Production Research,00207543,27656,1366588X,Journal,58,18,,5432-5455,"This paper studies a three-dimensional automated storage and retrieval system that uses conveyors for depth transportation and a crane for both horizontal and vertical transportation. While previous studies put input and output points together at the system bottom, we consider separating and elevating them by proposing four I/O point policies: input and output points at two sides, input and output points elevated at one side, input and output points elevated at two sides, input and output points elevated at a midpoint. We build travel time models to analyse these policies and use simulation for validation. We theoretically find the optimal system structure and compare these I/O point policies, in terms of expected S/R machine travel time. The results show that the square-in-time structure is optimal in most cases and the mid-point elevation I/O point policy performs the best in terms of expected travel time. Moreover, we compare our I/O point policies with the lower mid-point policy. The results show that the mid-point elevation I/O point policy outperforms the I/O point at the lower mid-point by about (Formula presented.) in terms of expected travel time, while other I/O point policies are dominated by the I/O point at the lower mid-point.",3D AS/RS | I/O point policy | performance analysis | travel time model | Warehousing,26,0,,,NSFC,71131004,National Natural Science Foundation of China
